AÑO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2019,8,Sevilla,América,Nicaragua,146,1591,10.9
2019,8,Sevilla,América,Perú,64,762,11.9
2019,8,Sevilla,América,Uruguay,58,522,9
2019,8,Sevilla,América,Venezuela,73,1110,15.2
2019,8,Soria,América,Estados Unidos de América,362,3656,10.1
2019,8,Soria,América,México,38,403,10.6
2019,8,Tarragona,América,Argentina,415,3818,9.2
2019,8,Tarragona,América,Brasil,224,2352,10.5
2019,8,Tarragona,América,Canadá,336,2386,7.1
2019,8,Tarragona,América,Chile,100,940,9.4
2019,8,Tarragona,América,Colombia,383,4366,11.4
2019,8,Tarragona,América,Estados Unidos de América,2375,21613,9.1
2019,8,Tarragona,América,México,205,2030,9.9
2019,8,Tarragona,América,Perú,57,621,10.9
2019,8,Tarragona,América,Uruguay,85,893,10.5
2019,8,Tarragona,América,Venezuela,54,1015,18.8
2019,8,Teruel,América,Brasil,35,455,13
2019,8,Teruel,América,Canadá,31,211,6.8
2019,8,Teruel,América,Colombia,37,492,13.3
2019,8,Teruel,América,Estados Unidos de América,402,4020,10
2019,8,Toledo,América,Argentina,206,989,4.8
2019,8,Toledo,América,Brasil,203,1502,7.4
2019,8,Toledo,América,Canadá,129,890,6.9
2019,8,Toledo,América,Chile,52,328,6.3
2019,8,Toledo,América,Colombia,326,2967,9.1
2019,8,Toledo,América,Ecuador,68,524,7.7
2019,8,Toledo,América,Estados Unidos de América,1209,9672,8
2019,8,Toledo,América,México,135,905,6.7
2019,8,Toledo,América,Perú,86,774,9
2019,8,Toledo,América,Uruguay,35,109,3.1
2019,8,Toledo,América,Venezuela,100,970,9.7
2019,8,Total Nacional,América,Argentina,38089,277874,7.3
2019,8,Total Nacional,América,Bahamas,108,696,6.4
2019,8,Total Nacional,América,Bolivia,781,7278,9.3
2019,8,Total Nacional,América,Brasil,26346,190948,7.2
2019,8,Total Nacional,América,Canadá,31589,177034,5.6
2019,8,Total Nacional,América,Chile,7277,47858,6.6
2019,8,Total Nacional,América,Colombia,24688,225211,9.1
2019,8,Total Nacional,América,Costa Rica,604,4264,7.1
2019,8,Total Nacional,América,Cuba,149,1528,10.3
2019,8,Total Nacional,América,Ecuador,4640,39447,8.5
2019,8,Total Nacional,América,El Salvador,665,5950,8.9
2019,8,Total Nacional,América,Estados Unidos de América,277848,1932230,7
2019,8,Total Nacional,América,Guatemala,745,5619,7.5
2019,8,Total Nacional,América,Honduras,714,6488,9.1
2019,8,Total Nacional,América,Jamaica,333,1592,4.8
2019,8,Total Nacional,América,México,33471,245252,7.3
2019,8,Total Nacional,América,Nicaragua,1452,15170,10.4
2019,8,Total Nacional,América,Panamá,1490,14006,9.4
2019,8,Total Nacional,América,Paraguay,1530,10649,7
2019,8,Total Nacional,América,Perú,9574,64473,6.7
2019,8,Total Nacional,América,República Dominicana,871,6558,7.5
2019,8,Total Nacional,América,Surinam,104,361,3.5
2019,8,Total Nacional,América,Trinidad y Tobago,179,1273,7.1
2019,8,Total Nacional,América,Uruguay,8269,51848,6.3
2019,8,Total Nacional,América,Venezuela,8135,105234,12.9
2019,8,Valencia/València,América,Argentina,835,7098,8.5
2019,8,Valencia/València,América,Bolivia,36,522,14.5
2019,8,Valencia/València,América,Brasil,654,5494,8.4
2019,8,Valencia/València,América,Canadá,600,4140,6.9
2019,8,Valencia/València,América,Chile,142,1051,7.4
2019,8,Valencia/València,América,Colombia,1033,11983,11.6
2019,8,Valencia/València,América,Ecuador,163,1744,10.7
2019,8,Valencia/València,América,Estados Unidos de América,6684,58151,8.7
2019,8,Valencia/València,América,Honduras,42,491,11.7
2019,8,Valencia/València,América,México,463,4954,10.7
2019,8,Valencia/València,América,Nicaragua,35,256,7.3
2019,8,Valencia/València,América,Panamá,46,478,10.4
2019,8,Valencia/València,América,Paraguay,36,256,7.1
2019,8,Valencia/València,América,Perú,101,1202,11.9
